    PID TTY          TIME CMD
      1 ?        00:00:07 systemd
      2 ?        00:00:00 kthreadd
      3 ?        00:00:00 rcu_gp
      4 ?        00:00:00 rcu_par_gp
      6 ?        00:00:00 kworker/0:0H-events_highpri
      8 ?        00:00:00 mm_percpu_wq
      9 ?        00:00:00 rcu_tasks_rude_
     10 ?        00:00:00 rcu_tasks_trace
     11 ?        00:00:03 ksoftirqd/0
     12 ?        00:00:11 rcu_sched
     13 ?        00:00:01 migration/0
     15 ?        00:00:00 cpuhp/0
     16 ?        00:00:00 cpuhp/1
     17 ?        00:00:00 migration/1
     18 ?        00:00:09 ksoftirqd/1
     20 ?        00:00:00 kworker/1:0H-events_highpri
     23 ?        00:00:00 kdevtmpfs
     24 ?        00:00:00 netns
     25 ?        00:00:00 inet_frag_wq
     26 ?        00:00:00 kauditd
     27 ?        00:00:00 khungtaskd
     28 ?        00:00:00 oom_reaper
     29 ?        00:00:00 writeback
     30 ?        00:00:01 kcompactd0
     31 ?        00:00:00 ksmd
     32 ?        00:00:09 khugepaged
     52 ?        00:00:00 kintegrityd
     53 ?        00:00:00 kblockd
     54 ?        00:00:00 blkcg_punt_bio
     55 ?        00:00:00 tpm_dev_wq
     56 ?        00:00:00 edac-poller
     57 ?        00:00:00 devfreq_wq
     58 ?        00:00:05 kworker/0:1H-kblockd
     59 ?        00:00:00 kswapd0
     60 ?        00:00:00 kthrotld
     61 ?        00:00:00 acpi_thermal_pm
     62 ?        00:00:00 mld
     63 ?        00:00:00 ipv6_addrconf
     74 ?        00:00:00 kstrp
     77 ?        00:00:00 zswap-shrink
     78 ?        00:00:00 kworker/u5:0
    116 ?        00:00:05 kworker/1:1H-kblockd
    123 ?        00:00:00 ata_sff
    125 ?        00:00:00 scsi_eh_0
    126 ?        00:00:00 scsi_tmf_0
    127 ?        00:00:00 scsi_eh_1
    128 ?        00:00:00 scsi_tmf_1
    177 ?        00:00:03 jbd2/sda1-8
    178 ?        00:00:00 ext4-rsv-conver
    234 ?        00:00:04 systemd-journal
    238 ?        00:00:00 rpciod
    239 ?        00:00:00 xprtiod
    262 ?        00:00:01 systemd-udevd
    349 ?        00:00:04 haveged
    395 ?        00:00:00 cron
    396 ?        00:00:05 dbus-daemon
    398 ?        00:00:03 NetworkManager
    401 ?        00:00:08 polkitd
    402 ?        00:00:00 rsyslogd
    403 ?        00:00:01 systemd-logind
    432 ?        00:00:00 ModemManager
    449 ?        00:00:00 lightdm
    475 tty7     00:07:21 Xorg
    480 tty1     00:00:00 agetty
    501 ?        00:00:16 VBoxService
    546 ?        00:00:41 dockerd
    603 ?        00:00:37 containerd
    634 ?        00:00:01 rtkit-daemon
    872 ?        00:00:00 lightdm
    877 ?        00:00:00 systemd
    878 ?        00:00:00 (sd-pam)
    892 ?        00:00:00 pipewire
    893 ?        00:00:02 pipewire-media-
    894 ?        00:00:02 pulseaudio
    898 ?        00:00:16 dbus-daemon
    903 ?        00:00:02 xfce4-session
    953 ?        00:00:00 VBoxClient
    955 ?        00:00:00 VBoxClient
    965 ?        00:00:00 VBoxClient
    967 ?        00:00:00 VBoxClient
    973 ?        00:00:00 VBoxClient
    974 ?        00:02:56 VBoxClient
    977 ?        00:00:00 VBoxClient
    979 ?        00:00:00 ssh-agent
    981 ?        00:00:00 VBoxClient
    998 ?        00:00:00 at-spi-bus-laun
   1004 ?        00:00:00 dbus-daemon
   1008 ?        00:00:00 xfconfd
   1014 ?        00:00:00 at-spi2-registr
   1024 ?        00:00:00 gpg-agent
   1026 ?        00:02:40 xfwm4
   1029 ?        00:00:00 gvfsd
   1034 ?        00:00:00 gvfsd-fuse
   1050 ?        00:00:01 xfsettingsd
   1053 ?        00:00:00 upowerd
   1058 ?        00:00:04 xfce4-panel
   1062 ?        00:00:00 Thunar
   1067 ?        00:00:06 xfdesktop
   1068 ?        00:00:03 panel-1-whisker
   1073 ?        00:06:09 panel-13-cpugra
   1074 ?        00:00:00 panel-14-systra
   1075 ?        00:01:49 panel-15-genmon
   1076 ?        00:00:57 panel-16-pulsea
   1077 ?        00:00:01 panel-17-notifi
   1078 ?        00:00:00 panel-18-power-
   1085 ?        00:00:00 panel-22-action
   1120 ?        00:00:00 xfce4-notifyd
   1140 ?        00:00:01 xfce4-power-man
   1147 ?        00:00:00 nm-applet
   1148 ?        00:00:01 blueman-applet
   1149 ?        00:00:00 xcape
   1154 ?        00:00:01 light-locker
   1155 ?        00:00:00 polkit-gnome-au
   1169 ?        00:00:00 agent
   1175 ?        00:00:00 xiccd
   1196 ?        00:00:00 dconf-service
   1198 ?        00:00:00 colord
   1241 ?        00:00:00 gvfs-udisks2-vo
   1244 ?        00:00:00 udisksd
   1263 ?        00:00:00 gvfs-gphoto2-vo
   1271 ?        00:00:00 gvfs-goa-volume
   1275 ?        00:00:06 gvfs-afc-volume
   1280 ?        00:00:00 gvfs-mtp-volume
   1289 ?        00:00:00 gvfsd-trash
   1297 ?        00:00:00 gvfsd-metadata
   1300 ?        00:00:00 obexd
  52417 ?        00:01:47 code
  52420 ?        00:00:00 code
  52421 ?        00:00:00 code
  52427 ?        00:00:00 code
  52456 ?        00:07:59 code
  52463 ?        00:00:00 code
  52475 ?        00:00:03 code
  52493 ?        00:04:52 code
  52504 ?        00:11:55 code
  52615 ?        00:00:49 code
  52655 ?        00:00:43 code
  52668 ?        00:00:30 code
  52729 ?        00:00:39 code
  52855 ?        00:00:06 code
  52856 ?        00:00:06 code
  53031 pts/0    00:00:00 zsh
  53089 ?        00:00:00 gnome-keyring-d
  53479 ?        00:02:22 code
  55500 ?        00:00:00 kworker/0:1-events
  63898 ?        00:00:01 kworker/0:0-events
  67351 ?        00:00:00 kworker/1:2-mm_percpu_wq
  68207 ?        00:00:00 kworker/u4:0-ext4-rsv-conversion
  69756 pts/2    00:00:00 bash
  72829 ?        00:00:00 kworker/u4:2-events_unbound
  74370 ?        00:00:00 kworker/1:0-events
  74741 ?        00:00:00 kworker/u4:1-ext4-rsv-conversion
  75605 ?        00:00:00 kworker/0:2-cgroup_destroy
  75633 ?        00:00:00 kworker/u4:3-ext4-rsv-conversion
  75675 ?        00:00:00 kworker/0:3-cgroup_destroy
  75677 ?        00:00:00 kworker/0:4-events
  75811 ?        00:00:00 kworker/1:1-events
  75970 pts/2    00:00:00 ps
